Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.491811185016980623e+00,5.040000000000000036e-02,3.598468261264297502e-02
2.489260047376239626e+00,5.800000000000000294e-02,3.621696815861530361e-02
2.486714128145994351e+00,5.899999999999999689e-02,3.672232982056583550e-02
2.484223179404988713e+00,7.119999999999999940e-02,3.750842300422439074e-02
2.481687547532321680e+00,8.379999999999999949e-02,3.863566292116187711e-02
2.479157086590559000e+00,9.579999999999999627e-02,4.012373487112048942e-02
2.476631780778141501e+00,1.042000000000000010e-01,4.200791683865061354e-02
2.474160980086994588e+00,1.092000000000000054e-01,4.427637975671323139e-02
2.471645837070700846e+00,1.132000000000000089e-01,4.705983463271011524e-02
2.469135802469135665e+00,1.204000000000000070e-01,5.036027131841825516e-02
2.466679928386712017e+00,1.125999999999999918e-01,5.414130966342002582e-02
2.464179964627094321e+00,1.239999999999999991e-01,5.860018266804384313e-02
2.461685063130310436e+00,1.341999999999999860e-01,6.371498093041835786e-02
2.459243980802030549e+00,1.224000000000000088e-01,6.941345376211910390e-02
2.456759059299030934e+00,1.107999999999999957e-01,7.597215777572990936e-02
2.454327731924073941e+00,9.679999999999999716e-02,8.318136861597932863e-02
2.451852730652113621e+00,7.799999999999999989e-02,9.137816077793373126e-02
2.449382716049382847e+00,8.340000000000000191e-02,1.004759557043244239e-01
2.446965959546127500e+00,1.067999999999999922e-01,1.103184824820181015e-01
2.444505776130584174e+00,9.340000000000001079e-02,1.213507889184592403e-01
2.442050534690903607e+00,9.500000000000000111e-02,1.334420116757874808e-01
2.439648218466563101e+00,1.049999999999999961e-01,1.463864296151255739e-01
2.437202720232713560e+00,1.112000000000000072e-01,1.607789176880247140e-01
2.434809927741124813e+00,1.265999999999999903e-01,1.761508990329700153e-01
2.432374114831597378e+00,1.541999999999999760e-01,1.932474608773054880e-01
2.429943170683911191e+00,1.844000000000000083e-01,2.119526443262214066e-01
2.427564604541895044e+00,2.184000000000000108e-01,2.320854266892847517e-01
2.425143259470771362e+00,2.498000000000000220e-01,2.547695631445318076e-01
2.422774076317383507e+00,2.618000000000000327e-01,2.795240876315680523e-01
2.420362273579012680e+00,3.101999999999999758e-01,3.078800223235278466e-01
2.418002418002417553e+00,3.518000000000000016e-01,3.393870933974793558e-01
2.415600101299359093e+00,3.896000000000000019e-01,3.761346565304681810e-01
2.413202553323991584e+00,4.323999999999999511e-01,4.185279614442680707e-01
2.410856631799976668e+00,4.766000000000000236e-01,4.666648006821957906e-01
2.408468485966786421e+00,5.283999999999999808e-01,5.236890923988785085e-01
2.406131755117880910e+00,6.012000000000000677e-01,5.885955472610142625e-01
2.403752956228434101e+00,6.767999999999999572e-01,6.652084288340016638e-01
2.401425362150437781e+00,7.710000000000000187e-01,7.515822683086252898e-01
2.399055855437537410e+00,8.709999999999999964e-01,8.519934154836423801e-01
2.396737344646964640e+00,9.747999999999999998e-01,9.629118072032293307e-01
